"DAY SHEETS, as at 9:21AM on Tuesday 9th"
DAY 1: Saturday 25th April 2026
Race,Time,Event #,Event Type,Round,Division,lane_1,lane_2,lane_4,lane_5
49,13:54,21,Mx Clb C4X+,heat,4,,,BPC* 1,WTM* 1
50,14:00,22,B U18 C4X+,heat,1,,,KICC 1,SHAC 1
51,14:06,22,B U18 C4X+,heat,2,,,COM* 1,MTA* 2
105,14:09,14,Mx U18 C2X,heat,1,CASH 2,CAM* 1,,
52,14:12,22,B U18 C4X+,heat,3,,,MTAL 1,PET* 1
106,14:15,14,Mx U18 C2X,heat,2,WESC 1,KICC 1,,
53,14:18,22,B U18 C4X+,heat,4,,,WRE* 1,TGSC 1
107,14:21,14,Mx U18 C2X,heat,3,CASH 1,HAM* 1,,
54,14:24,23,G U18 C4X+,heat,1,,,HAM* 1,COMC 1
108,14:27,14,Mx U18 C2X,heat,4,SPSC 1,WELC 2,,
55,14:30,23,G U18 C4X+,heat,2,,,WES* 1,TGSC 1
109,14:33,14,Mx U18 C2X,heat,5,VILC 1,BPCC 1,,
56,14:36,23,G U18 C4X+,heat,3, - - CANCELLED - -,,,,
110,14:39,14,Mx U18 C2X,heat,6,WELC 1,PETC 1,,
57,14:42,24,Mx U18 C4X+,heat,1,,,MTAL 1,KICC 1
111,14:45,16,M E-F C2X,prelim,1,NSHC 1 (E),WESC 1 (E),,
58,14:48,24,Mx U18 C4X+,heat,2,,,BPC* 1,CASH 1
112,14:51,25,Mx Opn C2X,heat,1,WKO* 4,CML* 1,,
59,14:54,28,Mx C-D C4X+,heat,1,,,WES* 1 (D),
60,14:54,29,Mx E-F C4X+,heat,1,,,,WES* 1 (E)
113,14:57,25,Mx Opn C2X,heat,2,WKOC 1,WES* 1,,
61,15:00,26,B U17 C4X+,heat,1,,,HAM* 1,MTAL 2
114,15:03,25,Mx Opn C2X,heat,3,HWB* 1,WKO* 3,,
62,15:06,26,B U17 C4X+,heat,2,,,SHAC 11,MTAL 1
115,15:09,25,Mx Opn C2X,heat,4,WKO* 2,,,
63,15:12,26,B U17 C4X+,heat,3,,,WKOC 1,
116,15:15,15,Mx Snr C2X,heat,1,SHA* 2,WKOC 3,,
64,15:18,27,G U17 C4X+,heat,1,,,NSHC 1,COM* 2
117,15:21,15,Mx Snr C2X,heat,2,NSH* 1,WKOC 2,,
65,15:24,27,G U17 C4X+,heat,2,,,MTAL 1,TGSC 1
118,15:27,15,Mx Snr C2X,heat,3,WKOC 1,SHA* 1,,
66,15:30,27,G U17 C4X+,heat,3,,,COMC 1,BPC* 1
67,15:36,27,G U17 C4X+,heat,4,,,POR* 1,KICC 1

DAY 2: Sunday 26th April 2026
Race,Time,Event #,Event Type,Round,Division,lane_1,lane_2,lane_4,lane_5
119,08:30,8,B U17 C2X,repechage,1,,,SHAC 2,MTAL 2
175,08:33,19,M Opn C1X,quarter-final,1,AVNC 1,WELC 1,,
120,08:36,8,B U17 C2X,repechage,2,,,MTAL 1,MTAL 3
176,08:39,19,M Opn C1X,quarter-final,2,WKOC 1,SGEC 1,,
121,08:42,9,G U17 C2X,repechage,1,,,WESC 1,BPC* 3
177,08:45,19,M Opn C1X,quarter-final,3,CAMC 1,TACC 1,,
122,08:48,9,G U17 C2X,repechage,2,,,TGSC 4,NSHC 1
178,08:51,19,M Opn C1X,quarter-final,4,WKOC 2,VILC 1,,
123,08:54,9,G U17 C2X,repechage,3,,,KICC 1,TGS* 1
179,08:57,20,W Opn C1X,repechage,1,WESC 2,EBSC 1,,
124,09:00,9,G U17 C2X,repechage,4,,,TGSC 3,MTAL 3
180,09:03,20,W Opn C1X,repechage,2,WKOC 1,DUAC 1,,
125,09:06,3,M Clb C2X,quarter-final,1,,,SHAC 2,WTMC 1
181,09:09,1,B U18 C1X,repechage,1,SHAC 2,WELC 1,,
126,09:12,3,M Clb C2X,quarter-final,2,,,TGA* 1,AUBC 3
182,09:15,1,B U18 C1X,repechage,2,BPCC 1,PETC 1,,
127,09:18,3,M Clb C2X,quarter-final,3,,,SHA* 1,BPCC 1
183,09:21,1,B U18 C1X,repechage,3,TGSC 1,KICC 2,,
128,09:24,3,M Clb C2X,quarter-final,4,,,AUBC 1,AUBC 2
184,09:27,1,B U18 C1X,repechage,4,NSHC 1,AGSB 1,,
129,09:30,4,W Clb C2X,repechage,1,,,TGA* 1,AUBC 4
185,09:33,2,G U18 C1X,repechage,1,KICC 1,SPSC 1,,
130,09:36,4,W Clb C2X,repechage,2,,,AUBC 2,BPCC 1
186,09:39,2,G U18 C1X,repechage,2,HOWI 1,VILC 1,,
131,09:42,12,B U18 C2X,repechage,1,,,MTAL 1,WELC 1
241,09:45,2,G U18 C1X,repechage,3,HOWI 2,WESC 2,,
132,09:48,12,B U18 C2X,repechage,2,,,WRE* 1,NSH* 1
242,09:51,2,G U18 C1X,repechage,4,TGSC 1,MTAL 3,,
133,09:54,8,B U17 C2X,quarter-final,1,,,SHAC 2,SHAC 1
187,09:57,6,M Snr C1X,repechage,1,NSHC 1,SHAC 1,,
134,10:00,8,B U17 C2X,quarter-final,2,,,MTAL 1,COM* 1
188,10:03,6,M Snr C1X,repechage,2,WKOC 1,VILC 1,,
135,10:06,8,B U17 C2X,quarter-final,3,,,TGSC 1,HAM* 1
189,10:09,7,W Snr C1X,repechage,1,TGAC 1,EBSC 1,,
136,10:12,8,B U17 C2X,quarter-final,4,,,CASH 1,HAMC 2
190,10:15,7,W Snr C1X,repechage,2,WKOC 4,WTMC 1,,
137,10:18,9,G U17 C2X,quarter-final,1,,,TGSC 2,BPC* 3
191,10:21,1,B U18 C1X,quarter-final,1,WELC 1,SHAC 1,,
138,10:24,9,G U17 C2X,quarter-final,2,,,TGSC 4,WREC 1
192,10:27,1,B U18 C1X,quarter-final,2,WKOC 2,BPCC 1,,
139,10:30,9,G U17 C2X,quarter-final,3,,,KICC 1,COMC 3
193,10:33,1,B U18 C1X,quarter-final,3,VILC 1,TGSC 1,,
140,10:36,9,G U17 C2X,quarter-final,4,,,POR* 1,MTAL 3
194,10:39,1,B U18 C1X,quarter-final,4,AGSB 1,KICC 1,,
141,10:42,5,Mx Clb C2X,semi-final,1,,,TGA* 2,TGAC 1
195,10:45,2,G U18 C1X,quarter-final,1,BPCC 1,KICC 1,,
142,10:48,5,Mx Clb C2X,semi-final,2,,,AUBC 2,WTMC 1
196,10:51,2,G U18 C1X,quarter-final,2,BPCC 2,HOWI 1,,
197,10:57,2,G U18 C1X,quarter-final,3,PETC 1,WESC 2,,
198,11:03,2,G U18 C1X,quarter-final,4,TGSC 1,WESC 1,,
143,11:18,12,B U18 C2X,quarter-final,1,,,MTAL 2,WELC 1
144,11:24,12,B U18 C2X,quarter-final,2,,,WRE* 1,WES* 1
145,11:30,12,B U18 C2X,quarter-final,3,,,WKOC 1,SHAC 1
199,11:33,6,M Snr C1X,quarter-final,1,TGAC 1,SHAC 1,,
146,11:36,12,B U18 C2X,quarter-final,4,,,PETC 1,AGSB 1
200,11:39,6,M Snr C1X,quarter-final,2,WKOC 2,VILC 1,,
147,11:42,13,G U18 C2X,quarter-final,1,,,WESC 1,BPC* 1
201,11:45,6,M Snr C1X,quarter-final,3,PETC 1,AUBC 1,,
148,11:48,13,G U18 C2X,quarter-final,2,,,MTAL 1,COMC 1
202,11:51,6,M Snr C1X,quarter-final,4,WELC 1,BPCC 1,,
149,11:54,13,G U18 C2X,quarter-final,3,,,WELC 1,CASH 1
203,11:57,7,W Snr C1X,quarter-final,1, - - CANCELLED - -,,,,
150,12:00,13,G U18 C2X,quarter-final,4,,,COMC 2,COM* 3
204,12:03,7,W Snr C1X,quarter-final,2, - - CANCELLED - -,,,,
151,12:06,14,Mx U18 C2X,quarter-final,1,,,CASH 1,CAM* 1
205,12:09,7,W Snr C1X,quarter-final,3, - - CANCELLED - -,,,,
152,12:12,14,Mx U18 C2X,quarter-final,2,,,WELC 2,VILC 1
206,12:15,7,W Snr C1X,quarter-final,4, - - CANCELLED - -,,,,
153,12:18,14,Mx U18 C2X,quarter-final,3,,,PETC 1,BPCC 1
207,12:21,21,Mx Clb C4X+,repechage,1,WKO* 1,AUBC 2,,
154,12:24,14,Mx U18 C2X,quarter-final,4,,,WELC 1,WESC 1
208,12:27,21,Mx Clb C4X+,repechage,2,WTM* 1,AUB* 1,,
155,12:30,25,Mx Opn C2X,repechage,1,,,WKOC 1,CML* 1
209,12:33,22,B U18 C4X+,repechage,1,MTAL 1,WRE* 1,,
156,12:36,25,Mx Opn C2X,repechage,2,,,WKO* 2,WKO* 4
210,12:39,22,B U18 C4X+,repechage,2,COM* 1,PET* 1,,
157,12:42,8,B U17 C2X,semi-final,1,,,SHAC 1,HAM* 1
211,12:45,27,G U17 C4X+,repechage,1,COM* 2,POR* 1,,
158,12:48,8,B U17 C2X,semi-final,2,,,CASH 1,COM* 1
212,12:51,27,G U17 C4X+,repechage,2,COMC 1,TGSC 1,,
159,12:54,9,G U17 C2X,semi-final,1,,,BPC* 3,WREC 1
213,12:57,30,Mx Opn C4X+,heat,1,COM* 2,COM* 1,,
160,13:00,9,G U17 C2X,semi-final,2,,,MTAL 3,KICC 1
